StartDate,EndDate,Duration (in seconds),RecordedDate,D-1_1,D-1_2,D-1_3,D-1_6,D-1_4,D-1_7,D-1_5,D-1_5_TEXT,D-2,D-3_1,D-3_2,D-3_3,D-3_4,D-3_5,D-3_6,D-3_7,D-3_8,D-3_9,D-3_9_TEXT,D-4,ND-1,ND-2_1,ND-2_2,ND-2_3,ND-2_4,ND-2_5,ND-2_6,ND-2_7,ND-2_7_TEXT,T-1_1,T-1_2,T-1_3,T-1_4,T-1_4_TEXT,T-2_1,T-2_2,T-2_3,T-2_4,T-2_7,T-2_8,T-2_8_TEXT,T-3_5,T-3_6,T-3_9,T-3_7,T-3_8,T-3_8_TEXT,T-4_1,T-4_2,T-4_3,T-4_4,T-4_5,T-4_6,T-4_6_TEXT,DE-1,DE-2,DE-3,DE-4,YD-1_6,YD-1_7,YD-1_5,YD-1_4,YD-1_3,YD-1_2,YD-1_1,YD-1_8,YD-1_8_TEXT,YD-1_DO_6,YD-1_DO_7,YD-1_DO_5,YD-1_DO_4,YD-1_DO_3,YD-1_DO_2,YD-1_DO_1,YD-1_DO_8,1_YD-2,1_YD-2_2_TEXT,1_YD-2_4_TEXT,1_YD-3_1,1_YD-3_2,1_YD-3_3,1_YD-3_4,1_YD-3_6,1_YD-3_5,1_YD-3_5_TEXT,1_YD-4_1,1_YD-4_2,1_YD-4_3,1_YD-4_4,1_YD-4_6,1_YD-4_5,1_YD-4_5_TEXT,1_YD-5,1_YD-6_1,1_YD-6_2,1_YD-6_3,1_YD-6_4,1_YD-6_5,1_YD-6_6,1_YD-6_6_TEXT,1_YD-7,2_YD-2,2_YD-2_2_TEXT,2_YD-2_4_TEXT,2_YD-3_1,2_YD-3_2,2_YD-3_3,2_YD-3_4,2_YD-3_6,2_YD-3_5,2_YD-3_5_TEXT,2_YD-4_1,2_YD-4_2,2_YD-4_3,2_YD-4_4,2_YD-4_6,2_YD-4_5,2_YD-4_5_TEXT,2_YD-5,2_YD-6_1,2_YD-6_2,2_YD-6_3,2_YD-6_4,2_YD-6_5,2_YD-6_6,2_YD-6_6_TEXT,2_YD-7,3_YD-2,3_YD-2_2_TEXT,3_YD-2_4_TEXT,3_YD-3_1,3_YD-3_2,3_YD-3_3,3_YD-3_4,3_YD-3_6,3_YD-3_5,3_YD-3_5_TEXT,3_YD-4_1,3_YD-4_2,3_YD-4_3,3_YD-4_4,3_YD-4_6,3_YD-4_5,3_YD-4_5_TEXT,3_YD-5,3_YD-6_1,3_YD-6_2,3_YD-6_3,3_YD-6_4,3_YD-6_5,3_YD-6_6,3_YD-6_6_TEXT,3_YD-7,4_YD-2,4_YD-2_2_TEXT,4_YD-2_4_TEXT,4_YD-3_1,4_YD-3_2,4_YD-3_3,4_YD-3_4,4_YD-3_6,4_YD-3_5,4_YD-3_5_TEXT,4_YD-4_1,4_YD-4_2,4_YD-4_3,4_YD-4_4,4_YD-4_6,4_YD-4_5,4_YD-4_5_TEXT,4_YD-5,4_YD-6_1,4_YD-6_2,4_YD-6_3,4_YD-6_4,4_YD-6_5,4_YD-6_6,4_YD-6_6_TEXT,4_YD-7,5_YD-2,5_YD-2_2_TEXT,5_YD-2_4_TEXT,5_YD-3_1,5_YD-3_2,5_YD-3_3,5_YD-3_4,5_YD-3_6,5_YD-3_5,5_YD-3_5_TEXT,5_YD-4_1,5_YD-4_2,5_YD-4_3,5_YD-4_4,5_YD-4_6,5_YD-4_5,5_YD-4_5_TEXT,5_YD-5,5_YD-6_1,5_YD-6_2,5_YD-6_3,5_YD-6_4,5_YD-6_5,5_YD-6_6,5_YD-6_6_TEXT,5_YD-7,6_YD-2,6_YD-2_2_TEXT,6_YD-2_4_TEXT,6_YD-3_1,6_YD-3_2,6_YD-3_3,6_YD-3_4,6_YD-3_6,6_YD-3_5,6_YD-3_5_TEXT,6_YD-4_1,6_YD-4_2,6_YD-4_3,6_YD-4_4,6_YD-4_6,6_YD-4_5,6_YD-4_5_TEXT,6_YD-5,6_YD-6_1,6_YD-6_2,6_YD-6_3,6_YD-6_4,6_YD-6_5,6_YD-6_6,6_YD-6_6_TEXT,6_YD-7,7_YD-2,7_YD-2_2_TEXT,7_YD-2_4_TEXT,7_YD-3_1,7_YD-3_2,7_YD-3_3,7_YD-3_4,7_YD-3_6,7_YD-3_5,7_YD-3_5_TEXT,7_YD-4_1,7_YD-4_2,7_YD-4_3,7_YD-4_4,7_YD-4_6,7_YD-4_5,7_YD-4_5_TEXT,7_YD-5,7_YD-6_1,7_YD-6_2,7_YD-6_3,7_YD-6_4,7_YD-6_5,7_YD-6_6,7_YD-6_6_TEXT,7_YD-7,8_YD-2,8_YD-2_2_TEXT,8_YD-2_4_TEXT,8_YD-3_1,8_YD-3_2,8_YD-3_3,8_YD-3_4,8_YD-3_6,8_YD-3_5,8_YD-3_5_TEXT,8_YD-4_1,8_YD-4_2,8_YD-4_3,8_YD-4_4,8_YD-4_6,8_YD-4_5,8_YD-4_5_TEXT,8_YD-5,8_YD-6_1,8_YD-6_2,8_YD-6_3,8_YD-6_4,8_YD-6_5,8_YD-6_6,8_YD-6_6_TEXT,8_YD-7,source,TR-0,TR-1,TR-2,TR-3_1,TR-3_2,TR-3_3,TR-3_4,TR-3_5,TR-4_1,TR-4_2,TR-4_3,TR-4_4,TR-4_5,TR-4_6,TR-4_7,TR-5,TR-6,ID
2023-05-01T22:51:31Z,2023-05-01T23:05:50Z,859,2023-05-01T23:05:51Z,1,NA,NA,NA,1,1,NA,NA,2,NA,1,NA,NA,2,4,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,3,2,NA,NA,NA,Health care administrator,7,1,2,NA,1,1,NA,NA,1,NA,NA,NA,4,3,5,6,7,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,View on website (no download),1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Not current; hard to find on website (although once found, easy to access)",5,NA,NA,NA,NA,NA,1,Personal interest,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,Attending GTM info sessions or obtaining info from newsletter,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Again, somewhat haphazard",6,NA,NA,NA,NA,NA,1,"Personal use, plus is helpful during some of the volunteer programs",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,Newsletter info or directly ask staff,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"It's a bit haphazard, almost anecdotal",5,NA,NA,NA,NA,NA,1,Personal interest; useful in some of my volunteer activities,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,1,3,3,10,11,11,10,10,NA,NA,NA,NA,NA,NA,NA,10,12,29
2023-05-03T01:22:39Z,2023-05-03T01:39:34Z,1015,2023-05-03T01:39:35Z,1,NA,NA,NA,1,1,NA,NA,4,NA,2,6,3,5,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,4,3,2,1,NA,NA,NA,3,1,2,NA,NA,NA,4,1,3,2,NA,NA,NA,NOAA fisheries scientist (retired),7,2,4,1,NA,NA,1,NA,1,NA,NA,NA,2,4,6,1,5,8,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,Ths was a one-off special case,7,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,https://gtmnerr.org/visit/,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,the info might not always be up to date,5,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,1,Done as part of oyster monitoring volunteering,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,1,4,4,12,12,13,12,13,8,8,8,7,7,7,7,10,12,30
2023-05-03T23:48:42Z,2023-05-03T23:57:22Z,519,2023-05-03T23:57:22Z,NA,NA,1,NA,NA,NA,NA,NA,3,NA,1,4,NA,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,2,4,1,NA,NA,NA,3,2,1,NA,NA,NA,1,NA,3,2,NA,NA,NA,Scientist,4,1,4,1,NA,1,NA,1,1,NA,NA,NA,7,6,5,4,1,2,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,1,4,3,13,13,13,13,12,7,7,8,8,8,7,6,10,11,36
2023-05-15T12:18:27Z,2023-05-15T12:34:09Z,941,2023-05-15T12:34:09Z,1,NA,NA,NA,NA,NA,NA,NA,5,7,1,5,6,4,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,4,3,2,1,NA,NA,NA,3,2,1,NA,NA,NA,4,2,3,1,NA,NA,NA,"Retired, Information Technology Management",7,2,2,NA,NA,NA,NA,1,1,NA,NA,NA,3,4,5,8,2,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,Attending state of the reserve presentations.,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,Only available when presented by the staff.,6,NA,NA,NA,1,NA,NA,NA,4,2,National Weather Service Tide Data,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Not easy to view on mobile devices.,5,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,1,4,4,13,13,13,11,13,8,8,8,8,8,8,8,12,12,33
2023-05-15T15:46:58Z,2023-05-15T16:18:56Z,1917,2023-05-15T16:18:57Z,NA,1,1,NA,NA,NA,NA,NA,5,NA,2,3,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,1,2,3,NA,NA,NA,1,3,4,2,NA,NA,NA,Fisheries Biologist,5,2,3,1,NA,NA,NA,1,1,NA,NA,NA,7,1,6,3,8,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,FWC data,NA,NA,NA,NA,NA,1,already have the data,NA,NA,NA,NA,1,NA,NA,7,1,NA,NA,NA,1,NA,NA,3,4,NA,FWC,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,7,1,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,FWC Data,NA,NA,NA,NA,NA,1,already have data,NA,NA,NA,NA,1,NA,NA,7,1,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
2023-05-15T15:50:56Z,2023-05-15T16:19:06Z,1690,2023-05-15T16:19:07Z,1,NA,1,1,NA,NA,NA,NA,4,6,4,5,7,2,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,2,1,3,NA,NA,NA,1,3,2,NA,NA,NA,3,4,2,1,NA,NA,NA,Biologist,3,1,3,1,1,1,NA,NA,1,1,NA,NA,8,7,4,2,1,6,3,5,2,Research Reserve Website,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,NA,NA,1,1,NA,1,Recreation,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
2023-05-15T13:58:50Z,2023-05-15T18:23:56Z,15906,2023-05-15T18:23:58Z,NA,NA,NA,1,NA,NA,NA,NA,4,NA,2,1,NA,3,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,3,2,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,estuarine ecologist,7,2,4,1,NA,1,NA,1,1,NA,NA,NA,6,8,4,3,2,1,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,GTMNERR.org,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,1,NA,NA,NA,NA,3,2,gtmnerr.org,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,GTMNERR.org,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,1,NA,NA,NA,NA,3,4,NA,State sites,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
2023-05-15T19:14:28Z,2023-05-15T19:21:42Z,433,2023-05-15T19:21:43Z,NA,NA,NA,1,NA,NA,NA,NA,7,2,1,4,3,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,4,3,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,1,NA,NA,NA,State Government Coastal Management,7,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,8,2,7,6,3,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
2023-05-15T19:37:58Z,2023-05-15T19:53:04Z,906,2023-05-15T19:53:04Z,1,1,1,NA,NA,NA,NA,NA,4,2,1,3,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,1,3,2,NA,NA,NA,1,3,NA,2,NA,NA,NA,Biologist and Land Manager,7,2,2,1,NA,NA,NA,1,1,1,NA,NA,5,8,3,2,4,6,1,7,2,https://cdmo.baruch.sc.edu//,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,1,NA,NA,NA,NA,4,2,https://cdmo.baruch.sc.edu//,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,1,NA,NA,NA,NA,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
2023-05-15T21:35:18Z,2023-05-15T21:47:06Z,708,2023-05-15T21:47:06Z,1,1,1,NA,1,NA,NA,NA,2,NA,4,3,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,2,1,NA,NA,NA,1,2,3,NA,NA,NA,1,2,4,3,NA,NA,NA,Associate Professor,4,2,2,1,NA,NA,NA,1,1,1,NA,NA,4,1,2,3,6,8,7,5,2,CDMO,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,NA,NA,1,NA,NA,NA,4,2,CDMO,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,1,NA,NA,NA,NA,NA,4,2,CDMO,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,1,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,Being a pain to the researchers,3,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,1,4,4,12,13,13,11,12,8,8,8,8,8,8,8,12,13,18
2023-05-16T12:17:40Z,2023-05-16T14:22:53Z,7512,2023-05-16T14:22:54Z,NA,NA,1,1,NA,NA,1,Lake management - FWC,1,3,1,2,NA,4,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,4,3,2,1,NA,NA,NA,3,2,1,NA,NA,NA,3,1,2,4,NA,NA,NA,Fisheries and wildlife biologist - FWC,2,1,3,NA,NA,NA,NA,1,1,1,NA,NA,5,4,7,3,6,2,1,8,2,https://www.weather.gov/jax/fire,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,SPOT weather forecast not available to general public,4,NA,NA,1,NA,NA,1,Prescribed fire weather forecasts,3,4,NA,Spot monitoring of salinity each week,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,Not as accurate as other salinity measuring techniques,2,NA,NA,1,NA,1,1,Vegetation management on lake,3,2,https://www.windfinder.com/tide/south_ponte_vedra_beach,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,Not directly representative of the Guana System,2,NA,NA,1,NA,NA,1,Guana Dam management,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
2023-05-16T15:26:19Z,2023-05-16T15:33:39Z,439,2023-05-16T15:33:40Z,1,1,1,1,NA,NA,NA,NA,3,3,2,1,6,4,5,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,3,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,3,4,2,1,NA,NA,NA,Engineer,5,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,3,5,2,4,8,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Website to  download/access is cumbersome otherwise I'd do it myself. Want to make sure I am getting the latest data and I trust staff,6,NA,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Not familiar with how to access it on my own,5,NA,NA,1,NA,NA,1,I would access it more if I knew how to get to the data,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,email,1,4,4,13,13,13,13,13,8,8,8,8,8,8,8,10,11,6
