surveyID,name,ownerId,organizationId,isActive,creationDate,lastModifiedDate,expiration_startdate,expiration_endDate,auditable,generated,deleted,date_checked
SV_agTpds5m6MDrqAe,Vis Center_Using collaborative open science tools to improve engagement with the ecology of the Guan,UR_cP8VQELWxQUJqYZ,ufl,TRUE,2023-04-12T17:35:22Z,2023-04-19T22:11:29Z,NA,NA,0,0,0,2023-06-17 2023-06-17 18:04:52.331377
SV_bqMgSIcEsmEy91Q,Kiosk_Using collaborative open science tools to improve engagement with the ecology of the Guana - C,UR_cP8VQELWxQUJqYZ,ufl,TRUE,2023-04-12T17:35:02Z,2023-04-19T22:12:34Z,NA,NA,1,0,0,2023-06-17 2023-06-17 18:04:52.331377
SV_ezASGpdQPyOr8Xk,Soc Media_Using collaborative open science tools to improve engagement with the ecology of the Guana,UR_cP8VQELWxQUJqYZ,ufl,TRUE,2023-04-12T17:33:15Z,2023-05-12T20:49:48Z,NA,NA,3,0,0,2023-06-17 2023-06-17 18:04:52.331377
SV_9RjNbEveqMo0MLk,Using collaborative open science tools to improve engagement with the ecology of the Guana River Est,UR_0MJe8Ic1zAztWER,ufl,TRUE,2022-12-23T13:54:48Z,2023-05-12T19:52:47Z,NA,NA,52,0,0,2023-06-17 2023-06-17 18:04:52.331377
