text_answer,text_answer_std
already have the data,N/A (already have the data / collect data myself)
"one stop shop, right now data is across so many websites...",
Done as part of oyster monitoring volunteering,N/A (already have the data / collect data myself)
already have data,N/A (already have the data / collect data myself)
It would be easier to go online and find out what's open or closed,
